id,name,country,city,sources,source_count,certifications_count,certification_names,has_jci,jci_accreditation_date,jci_expiry_date,total_score,certification_score,quality_initiatives_score,patient_feedback_score,website,last_updated
,Care and Cure Multispeciality Hospital (Unit of NK Remedies Pvt. Ltd.),India,Ahmedabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,We Care Multispeciality Hospital,India,Rohtak,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:37.166258
,Numed Superspeciality Hospital (A Unit of Apy Mediservices Pvt Ltd.),India,Greater Noida,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,SRG Hospital,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,V One Hospital,India,Indore,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:37.348833
,KRIMS Hospital (Ketki Research Institute of Medical Science),India,Nagpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Golden Heart Hospital (A Unit of Mediflex Hospital Associates LLP),India,Jabalpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Pacific Institute of Medical Sciences (A Unit of Sai Tirupati University),India,Udaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Solar Hospital : Grace GPS Healthcare Pvt. Ltd.,India,Ahmedabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Lokpriya Hospital,India,Meerut,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:34.847354
,Prathima Cancer Hospital Pvt. Ltd.,India,Warangal,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Shree Giriraj Hospital,India,Rajkot,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Sunshine Hospital,India,Bhubneshwar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Hamidia Hospital,India,Bhopal,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Pacific Medical College and Hospital,India,Udaipur,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.344528
,All is Well Hospital,India,Burhanpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Integral Hospital-integral Institute of Medical Sciences & Research,India,Lucknow,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,PRK Hospitals Pvt. Ltd.,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Kauvery Hospital Medical Services Private Limited,India,Krishnagiri,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Divya Prastha Hospital,India,Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Aravali Hospital,India,Udaipur,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:34.783222
,Anand Hospital (A Unit of Anand Nirogdham Hospital Pvt. Ltd.),India,Meerut,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Aryaa Neuro Spine & Super Speciality Hospital Pvt. Ltd.,India,Ajmer,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Xenia Hospitals,India,Hyderabad,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:35.519474
,R R Healthcare,India,Moradabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,ESIC Super Speciality Hospital,India,Hyderabad,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.840234
,Manthan Hospital,India,Hisar,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:37.484882
,Renova Sowmya Cancer Centre,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,MPCT Hospital,India,Navi Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Pal Balaji Hospital Pvt. Ltd.,India,Jodhpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,SRM Institute for Medical Science,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Mani Superspeciality Hospital,India,Varanasi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Shri Sai Hospital,India,Ambala,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Aarvy Healthcare,India,Gurgaon,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:37.364960
,"Christian Medical College, Ranipet Campus",India,Vellore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Nirali Hospital (A Unit of Nirali Memorial Medical Trust),India,Navsari,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Mavjat Multispeciality Hospital,India,Banaskantha,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Ankura Hospital for Women & Children (A Unit of Ankura Hospitals LB Nagar Pvt. Ltd.),India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,M/s. DVC Hospital & Research Centre (A Unit of Sri Dhulipala Veeraiah Chowdary Memorial Trust),India,Guntur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Rhythm Heart Institute (Unit of Synergy Lifecare Pvt. Ltd.),India,Vadodara,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Jai Clinic and Nursing Home,India,Ajmer,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,St Anns Jubille Memorial Hospital,India,Visakhapatnam,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Rainbow Hospital (A Unit of B.L. Aggarwal Health Care Private Limited),India,Sri Ganganagar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Suvira Hospital (A Unit of Suvira Super Hospitals Pvt. Ltd.),India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.804406
,Kolhapur Cancer Centre,India,Kolhapur,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:33.863278
,Sagar Multispeciality Hospital,India,Bhopal,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:38.238907
,Laxmi Narayan Memorial Hospital (A Venture of Fortuna Medicare Pvt. Ltd.),India,Narsinghpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Mary Queens Mission Hospital,India,Kottayam,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:35.155124
,Nivik Neuro Trauma And Multispeciality Hospital,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Kims Kollam Multispeciality Hospital India Private Limited,India,Kollam,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Narayan Memorial Hospital (A Unit of Narayan Health Services Pvt. Ltd.),India,Kolkata,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Ayushman Bhav Health Institute,India,Panipat,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:34.793925
,Jiet Medical College and Hospital (A Unit of Arun Shanti Education Trust),India,Jodhpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Rohilkhand Medical College and Hospital,India,Bareilly,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:35.908710
,Bharat Vikash Parishad Hospital & Research Center,India,Kota,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.886588
,Gandhi Hospital,India,Delhi,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,
,Dr. Chandramma Dayananda Sagar Institute of Medical Education and Research,India,Ramanagara,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,GSLTrust Cancer Hospital,India,East Godavari,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Aarogyam Superspeciality Hospital and Research Center,India,Durg,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Agrawal Hospital,India,Tonk,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Jan Hospital Pali (A Unit of Level 5 Health LLP),India,Pali,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,K.K. Patel Super Speciality Hospital,India,Kachchh,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Mamatha Academy of Medical Sciences Hospital,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,MGM Cancer Institute,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Desun Hospital (A Unit of PN Memorial Neurocentre and Research Institute Limited),India,Siliguri,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Mehar Hospital (A Unit of Mehar Mediserve LLP),India,Mohali,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Asian Vascular Hospitals,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Pushpanjali Hospital & Research Centre Pvt. Ltd.,India,Agra,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Woodlands Multispeciality Hospital Limited,India,Kolkata,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,WMF's Villoo Poonawalla Memorial Hospital,India,Pune,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Surya Childrens Medicare Private Limited,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Vyas Superspeciality Hospital,India,Jodhpur,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:38.176374
,Rajkot Cancer Society,India,Rajkot,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,S.B. Mittal Memorial Heart and Critical Care Hospital,India,Sikar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Archana Hospitals,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Maitri Hospital (A Unit of Singhvi Medicare and Research Centre Pvt. Ltd.),India,Kota,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Anand Heart & Multispeciality Hospital (A Unit of Prem Malhotra Heathcare Pvt. Ltd.),India,Tarn Taran,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Srikara Hospitals,India,Hyderabad,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,
,Scai Superspeciality Hospitals,India,Gandhinagar,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:38.356000
,Lifeline Superspeciality Hospital & Heart Centre,India,Jhansi,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:37.344818
,Delta Hospitals (Unit of Rajamahendri Healthcare Pvt. Ltd.),India,Rajamahendravaram,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Parivar Super Speciality Hospital and Research Center,India,Gwalior,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,"Apex Hospitals, Mulund",India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Renova Century Hospitals (A Unit of Bhargavi Healthcare Services Pvt. Ltd.),India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Raju Neuro & Multi Speciality Hospital,India,East Godavari,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Vivanta Critical Care Private Limited,India,Chhindwara,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Popular Medicare Limited Unit Mirzapur,India,Mirzapur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,East Coast Hospitals,India,Moolakulam,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,B.R. Shastri Hospital ( A Unit of Aryabhatta Academic Society),India,Ajmer,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Malabar Medical College Hospital & Research Centre,India,Kozhikode,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,The Kidney Hospital,India,Panipat,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Shri Vedanta Multi Superspeciality Hospital,India,Bareilly,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Apollo Hospital Rourkela (Managing IPGI and SSH),India,Rourkela,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Prudence Hospital,India,Nizamabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,KIMS Hospital Kurnool Pvt. Ltd.,India,Kurnool,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Shree Mahavir Jain Hospital & Pratap J Aashar Cardiac Centre,India,Thane,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Shantived Institute of Medical Sciences,India,Agra,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.788491
,Arihant Multispeciality Hospital (A Unit of Kusumgar Healthcare Private Limited),India,Nagpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Le Crest Hospital,India,Ghaziabad,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.715026
,AAIHMS Hospital and Research Centre Limited,India,Surat,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Zynova Hospitals Private Limited,India,Mumbai City,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Maharaja Agrasen Superspeciality Hospital,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Felix Hospital,India,Greater Noida,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Sri Kauvery Medical Care (India) Limited,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,S.P. Multi Speciality Hospital,India,Thiruvananthapuram,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Apex Institute of Medical Sciences and Hospital,India,Mirzapur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Vishnoi Hospital and Surgical Center,India,Barmer,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Ojas Multispeciality Hospital LLP,India,Pune,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Gayatri Hospital (A Unit of AAS Medicare Pvt. Ltd.),India,Ghaziabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Mahendra Gayatri Hospital,India,Bareilly,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.810191
,St. Stephen's Hospital,India,Central Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,IBM Hospital and Trauma Centre (A Unit of Gaurav Hospital Pvt. Ltd.),India,Panipat,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Sudha Surgical Hospital,India,Varanasi,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.692955
,Waluj Hospital,India,Aurangabad,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:35.928825
,Pulse Superspeciality Hospital,India,Ranchi,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.419816
,Shri Hari Hospital,India,Jhunjhunu,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,VY Institute of Medical Science Pvt. Ltd.,India,Raipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Maa Kauvery (A Unit of KMC Speciality Hospitals (India) Limited),India,Tiruchirappalli,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Yatharth Super Speciality Hospital (A Unit of Pristine Infracon Pvt. Ltd.),India,Faridabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Plus Medicare Hospitals Pvt Ltd,India,Srinagar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Shri Sankalp Medical and Research Institute Pvt. Ltd.,India,Raipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,SRK Max Hospital (A Unit of Shri Ram Krishana Healthcare Pvt Ltd.),India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Nalbari Multispeciality Hospital,India,Nalbari,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Chandan Hospital (Unit of Chandan Superspeciality Hospital Ltd.),India,Nainital,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.806409
,Shri Swami Bhumanand Hospital,India,Haridwar,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.430359
,M/s Sankalpa Super Speciality Hospital,India,Tirupati,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Shaheed Kartar Singh Sarabha Charitable Hospital,India,Ludhiana,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Vrudam Institute of Medical Science,India,Surat,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:37.030721
,Navjeevan Hospital,India,Dausa,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Andromeda Cancer Hospital (A Unit of Andromeda Hospitals and Healthcare Private Limited),India,Sonipat,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Dr S S Tantia Medical College Hospital and Research Centre (Jansewa Hospital),India,Sri Ganganagar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Vivekananda Hospital Pvt. Ltd.,India,Durgapur,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.423834
,Krishna Heart & General Hospital,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Kailash Hospital,India,Dehradun,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,
,Gitam Institute of Medical Sciences & Research (Deemed To Be University),India,Visakhapatnam,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Shree Hospitals (A Unit of Odisha Multispeciality Hospital & Trauma Care Centre Pvt. Ltd.),India,Bhubaneswar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Velmed Hospital (A Unit of Bharat Heart & Super Speciality Hospitals Pvt. Ltd.),India,Dehradun,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Anant Heart Hospital,India,Bhopal,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Yashodhara Superspeciality Hospital Pvt. Ltd. Solapur Unit II,India,Solapur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Kullolli Institute of Health Services,India,Sangli,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:36.880289
,Apex Super Speciality Hospital & IVF Centre ( A Unit of Goyal Institute of Medical Sciences Pvt. Ltd.),India,Raigarh,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Radhika Super Speciality & Advance Trauma Centre,India,Bareilly,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.808415
,Mittal Institute of Medical Science,India,Raipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
