reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,country,status,extracted_date
H-2013-0759,"Malla Reddy Narayana Multispeciality Hospital, Hyderabad, Telangana, India",H-2017-0487,06 Jul 2023,05 Jul 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.695137
H-2016-1059,"Neotia Getwel Healthcare Centre, Siliguri, West Bengal, India",H-2017-0488,06 Jul 2023,05 Jul 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.695137
H-2015-0945,"Bristlecone Hospitals (Erstwhile Titan Hospitals), Hyderabad, Telangana, India",H-2017-0489,06 Jul 2017,05 Jul 2020,Accredition expired Not undergone renewal Asessment,NABH,India,Expired,2025-09-22T12:39:43.696143
H-2015-0962,"Dr. Jeyasekharan Hospital & Nursing Home, Negercoil, Tamil Nadu, India",H-2017-0490,06 Jul 2024,05 Jul 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696143
H-2013-0780,"Rajarajeshwari Medical College & Hospital, Bangalore, Karnataka, India",H-2017-0491,06 Jul 2023,05 Jul 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696143
H-2016-1051,"CIMAR The Women’s Hospital (Unit of Edappal Hospitals Pvt. Ltd.), Edappally, Kerala, India",H-2017-0492,06 Aug 2024,05 Aug 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696143
H-2015-0979,"Sanjeev Bansal Cygnus Hospital, Karnal, Haryana, India",H-2017-0493,06 Aug 2023,05 Aug 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696143
H-2016-1080,"Spandan Multipsecilaity Hospital, Vadodara, Gujarat, India",H-2017-0494,06 Aug 2024,05 Aug 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696143
H-2014-0850,"Yatharth Wellness Super Speciality Hospital and Heart Centre, Noida, Uttar Pradesh, India",H-2017-0495,06 Aug 2024,05 Aug 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2009-0335,"KMC Hospital & Research Centre, Meerut, Uttar Pradesh, India",H-2017-0496,06 Aug 2020,05 Aug 2023,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.696794
H-2015-0923,"Kamalnayan Bajaj Hospital, Aurangabad, Maharashtra, India",H-2017-0497,06 Aug 2023,05 Aug 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2016-1047,"Little flower and Research Centre, Ernakulam, Kerala, India",H-2017-0498,06 Aug 2023,05 Aug 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2015-1008,"Pancham Hospitals (A Unit of Pancham Hospitals Private Limited), Ludhiana, Punjab, India",H-2017-0499,06 Aug 2023,05 Aug 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2016-1078,"Solanki Hospital, Alwar, Rajasthan, India",H-2017-0500,15 Nov 2024,14 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2016-1062,"Shalby Hospital, Indore, Madhya Pradesh, India",H-2017-0501,15 Nov 2017,14 Nov 2020,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.696794
H-2015-1023,"Global Hospital (A Unit of Sood Hospital Pvt. Ltd.), Jalandhar, Punjab, India",H-2017-0502,15 Nov 2020,14 Nov 2024,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.696794
H-2016-1097,"Avee Hospital (A Unit of Kastura Medicos Ltd.) - (Earlier Certificate issued in the name of Aarogya Hospital), Vaishali, Ghaziabad, Uttar Pradesh, India",H-2017-0503,15 Nov 2024,14 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2009-0266,"Avanti Institute of Cardiology Pvt. Ltd, Nagpur, Maharashtra, India",H-2017-0504,15 Nov 2024,14 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2013-0732,"LISIE Hospital, Ernakulam, Kerala, India",H-2017-0505,15 Nov 2024,14 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2016-1091,"Narayana Superspeciality Hospital (Unit of MMRHL), Kolkata, West Bengal, India",H-2017-0506,15 Nov 2023,14 Nov 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2017-1136,"Rukmani Birla Hospital (A unit of The Calcutta Medical Research Institute), Jaipur, Rajasthan, India",H-2017-0507,15 Nov 2023,14 Nov 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2016-1117,"Virinchi Hospitals (A Unit of Virinchi Healthcare Pvt. Ltd.), Hyderabad, Telangana, India",H-2017-0508,15 Nov 2024,14 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.696794
H-2012-0602,"Santom Hospital, New Delhi, Delhi, India",H-2017-0509,15 Nov 2017,14 Nov 2020,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2013-0784,"Yashoda Hospital and Cancer Institute (A Unit of Yashoda Hospital and Research Centre Limited), Ghaziabad, Uttar Pradesh, India",H-2017-0510,15 Nov 2023,14 Nov 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.697803
H-2012-0610,"Narad Multispecialty Hospital & Trauma Centre, Hoshiarpur, Punjab, India",H-2017-0511,15 Nov 2017,14 Nov 2020,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2014-0857,"Noble Hospital, Bhopal, Madhya Pradesh, India",H-2018-0512,08 Jan 2018,07 Jan 2021,Not recommended for renewal,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2016-1098,"Srikara Hospitals, Madinaguda, Hyderabad, Telangana, India",H-2018-0513,08 Jan 2018,07 Jan 2021,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2012-0636,"Jain Social Federation’s Anandrishiji Hospital and Medical Research Centre - (Earlier Certificate issued in the Name of Jain Social Federations Anandrishiji Hospital & Cardiac Surgery Centre), Ahmednagar, Maharashtra, India",H-2018-0514,08 Jan 2025,07 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.697803
H-2016-1046,"Supraja Hospitals, Hyderabad, Telangana, India",H-2018-0515,08 Jan 2018,07 Jan 2021,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2010-0411,"Vivekananda Polyclinic & Institute of Medical Sciences, Lucknow, Uttar Pradesh, India",H-2018-0516,08 Jan 2025,07 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.697803
H-2016-1096,"Dr. Karam Singh Memorial , Amritsar, Punjab, India",H-2018-0517,08 Jan 2021,07 Jan 2025,Moved to SHCO Accreditation Program,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2016-1042,"Neelkanth Hospital, Amritsar, Punjab, India",H-2018-0518,08 Jan 2021,07 Jan 2025,Forced Withdrawal of Accreditation w.e.f. 3rd August 2024,NABH,India,Expired,2025-09-22T12:39:43.697803
H-2013-0778,"Care Hospitals - Malakpet (A Unit of Quality Care India Limited), Hyderabad, Telangana, India",H-2018-0519,08 Jan 2024,07 Jan 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.697803
H-2015-0992,"KIMS Hospital Enterprises Pvt. Ltd., Kondapur, Hyderabad, Telangana, India",H-2018-0520,08 Jan 2024,07 Jan 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.697803
H-2011-0544,"SMT Paarvati Devi Hospital, Amritsar, Punjab, India",H-2018-0521,08 Jan 2025,07 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.697803
H-2017-1128,"Yenepoya Institute of Medical Sciences & Research Pvt. Ltd., Mangalore, Karnataka, India",H-2018-0522,08 Jan 2025,07 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2017-1145,"Venkateshwar Hospital, Delhi, Delhi, India",H-2018-0523,08 Jan 2025,07 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2015-1002,"Aastha Kidney & Superspeciality Hospital, Ludhiana, Punjab, India",H-2018-0524,08 Jan 2018,07 Jan 2021,Moved to SHCO,NABH,India,Expired,2025-09-22T12:39:43.698801
H-2009-0220,"City Hospital & Research Centre (P) Ltd., Jabalpur, Madhya Pradesh, India",H-2018-0525,08 Jan 2018,07 Jan 2021,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.698801
H-2014-0900,"L N Medical College and J K Hospital, Bhopal, Madhya Pradesh, India",H-2018-0526,08 Jan 2018,07 Jan 2021,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.698801
H-2015-0994,"Manu Hospital, Coimbatore, Tamil Nadu, India",H-2018-0527,08 Jan 2021,07 Jan 2025,Accreditation Expired,NABH,India,Expired,2025-09-22T12:39:43.698801
H-2016-1118,"Apollo Hospitals, Seshadripuram, Bangalore, Karnataka, India",H-2018-0528,18 Feb 2025,17 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2016-1052,"HCG Cancer Centre, Ahmedabad, Gujarat, India",H-2018-0529,18 Feb 2021,17 Feb 2025,Voluntary Withdrawal w.e.f. 31st August 2024,NABH,India,Expired,2025-09-22T12:39:43.698801
H-2016-1081,"Healthcare Global Enterprises Limited, Bangalore, Karnataka, India",H-2018-0530,18 Feb 2025,17 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2016-1040,"Medicover Hospitals (A Unit of Abhayanjaneya Health Care Pvt.Ltd.), Nellore, Andhra Pradesh, India",H-2018-0531,18 Feb 2025,17 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2017-1133,"Care Hospitals (A Unit of Quality Care India Limited), Hi-Tech City, Gachibowli, Hyderabad, Telangana, India",H-2018-0532,18 Feb 2025,17 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2016-1110,"Pinnacle Hospitals, Visakhapatnam, Andhra Pradesh, India",H-2018-0533,18 Feb 2025,17 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2009-0311,"Orange City Hospital & Research Institute, Nagpur, Maharashtra, India",H-2018-0534,11 Mar 2025,10 Mar 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2017-1157,"Geetanjali Medical College & Hospital, Udaipur, Rajasthan, India",H-2018-0535,11 Mar 2025,10 Mar 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.698801
H-2016-1102,"T. S. Misra Medical College and Hospital, Lucknow, Uttar Pradesh, India",H-2018-0536,11 Mar 2018,10 Mar 2021,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.698801
H-2017-1168,"Indus International Hospital, Mohali, Punjab, India",H-2018-0537,11 Mar 2025,10 Mar 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.699803
H-2015-0971,"Apollo KH Hospital, Melvisharam, Vellore, Tamil Nadu, India",H-2018-0538,11 Mar 2025,10 Mar 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.699803
H-2016-1112,"Sir H.N. Reliance Foundation Hospital and Research Centre, Mumbai, Maharashtra, India",H-2018-0539,11 Mar 2025,10 Mar 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.699803
H-2016-1120,"Mayom Hospital, Gurgaon, Haryana, India",H-2018-0540,11 Mar 2024,10 Mar 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.699803
H-2016-1111,"Mohandai Oswal Hospital, G.T Road, Sherpur Bypass, Ludhiana, Punjab, India",H-2018-0541,22 Apr 2025,21 Apr 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700361
H-2017-1143,"Delhi Heart Institute & Multispecialty Hospital , Bathinda, Punjab, India",H-2018-0542,22 Apr 2018,21 Apr 2021,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.700361
H-2017-1154,"Max Super Speciality Hospital (A Unit of Alexis Multispeciality Hospital Pvt. Ltd.) - (Earlier Certificate issued in the name of Alexis Multispecialty Hospital), Nagpur, Maharashtra, India",H-2018-0543,22 Apr 2025,21 Apr 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700361
H-2016-1070,"Fortune Hospital, Kanpur, Uttar Pradesh, India",H-2018-0544,22 Apr 2025,21 Apr 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700361
H-2017-1148,"Cygnus Superspeciality Hospital, Kaithal, Haryana, India",H-2018-0545,13 May 2021,12 May 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.700361
H-2017-1169,"O.P Jindal Institute of Cancer & Cardiac Research, Hisar, Haryana, India",H-2018-0546,16 Jun 2025,15 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1126,"Nayati Multi Super Speciality Hospital, Mathura, Uttar Pradesh, India",H-2018-0547,22 Jul 2018,21 Jul 2021,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2017-1179,"HCG Cancer Centre, Vadodara, Gujarat, India",H-2018-0548,22 Jul 2025,21 Jul 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1088,"Neo Hospital (A Unit of Muskan Medical Centre Pvt. Ltd.), Noida, Uttar Pradesh, India",H-2018-0549,22 Jul 2025,21 Jul 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1119,"GNRC Institute of Medical Science, North , Guwahati, Assam, India",H-2018-0550,22 Jul 2021,21 Jul 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2016-1101,"Uppal Neuro Hospital, Amritsar, Punjab, India",H-2018-0551,19 Aug 2021,18 Aug 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2017-1146,"Bhandari Hospital & Research Centre , Indore, Madhya Pradesh, India",H-2018-0552,19 Aug 2025,18 Aug 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2017-1142,"Poona Hospital And Research Centre , Pune, Maharashtra, India",H-2018-0553,19 Aug 2025,18 Aug 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2017-1149,"Kamineni Health Care Private Limited, Vijayawada, Andhra Pradesh, India",H-2018-0554,19 Aug 2021,18 Aug 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2017-1186,"Aadhar Health Institue (A Unit of VLCOM Healthcare Private Limited), Hisar, Haryana, India",H-2018-0555,19 Aug 2025,18 Aug 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1122,"Amaltas Institute of Medical Sciences, Dewas, Madhya Pradesh, India",H-2018-0556,19 Aug 2025,18 Aug 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1103,"Health Hospitals, Tenali, Andhra Pradesh, India",H-2018-0557,19 Aug 2021,18 Aug 2025,Voluntary Withdrawal w.e.f 29th Jan 2024,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2017-1165,"Navin Hospital, Greater Noida, Uttar Pradesh, India",H-2018-0558,19 Aug 2025,18 Aug 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1106,"SVS Institute of Neurosciences, Kachiguda, Hyderabad, Telangana, India",H-2018-0559,19 Aug 2018,18 Aug 2021,Expired in Abeyance,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2016-1121,"Shri Mata Vaishno Devi Narayana Superspeciality Hospital, Kakryal, Jammu and Kashmir, India",H-2018-0560,19 Aug 2025,18 Aug 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2012-0664,"Amala Institute of Medical Sciences, Thrissur, Kerala, India",H-2018-0561,16 Sep 2025,15 Sep 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.700941
H-2016-1069,"Aster CMI Hospital, Sahakara Nagar, Bangalore, Karnataka, India",H-2018-0562,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.700941
H-2016-1116,"Vedanta Hospitals, Guntur, Andhra Pradesh, India",H-2018-0563,16 Sep 2018,15 Sep 2021,Application closed,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2016-1124,"Apollo Speciality Hospitals, OMR, Chennai, Tamil Nadu, India",H-2018-0564,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2015-0913,"Goyal Hospital & Research Centre Pvt. Ltd., Jodhpur, Rajasthan, India",H-2018-0565,16 Sep 2025,15 Sep 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.702085
H-2016-1104,"Rainbow Children's Hospital and Birthright by Rainbow (A Unit of Rainbow Medicare Pvt. Ltd.), Marthalli, Bangalore, Karnataka, India",H-2018-0566,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2015-0924,"Apollo Childerns Hospital, Chennai, Tamil Nadu, India",H-2018-0567,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2017-1151,"Care & Cure Medicity Hospital, Amritsar, Punjab, India",H-2018-0568,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2015-1010,"PBMA'S H V Desai Eye Hospital, Pune, Maharashtra, India",H-2018-0569,16 Sep 2018,15 Sep 2021,Shifted to ECO,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2015-0970,"New Ruby Hospital Pvt. Ltd., Jalandhar, Punjab, India",H-2018-0570,16 Sep 2025,15 Sep 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.702085
H-2009-0151,"Prayag Hospital & Research Centre (P) Ltd., Noida, Uttar Pradesh, India",H-2018-0571,16 Sep 2025,15 Sep 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.702085
H-2016-1056,"Global Heart and General Hospital Private Limited, Jaipur, Rajasthan, India",H-2018-0572,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2016-1090,"MGM Medical College Hospital and Medical Center Research Institute, Aurangabad, Maharashtra, India",H-2018-0573,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2017-1192,"Bharati Vidyapeeth University Medical College Hospital & Research Centre, Pune, Maharashtra, India",H-2018-0574,16 Sep 2021,15 Sep 2025,Renewed on 5th Edition,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2017-1172,"Sparsh Super Speciality Hospital, Yeashwanthpur, Bangalore, Karnataka, India",H-2018-0575,27 Oct 2025,26 Oct 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.702085
H-2017-1141,"Aditya Super Speciality Hospital And Research Centre , Jabalpur, Madhya Pradesh, India",H-2018-0576,27 Oct 2018,26 Oct 2021,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2015-0965,"Landmark Hospitals, Kukatpally, Hyderabad, Telangana, India",H-2018-0577,23 Jun 2022,22 Jun 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.702085
H-2014-0828,"Kaizen Hospital, Ahmedabad, Gujarat, India",H-2018-0578,27 Oct 2018,26 Oct 2021,Moved to SHCO,NABH,India,Expired,2025-09-22T12:39:43.702085
H-2017-1188,"Amritdhara-My Hospital, Karnal, Haryana, India",H-2018-0579,27 Oct 2025,26 Oct 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.702085
H-2017-1170,"Andhra Hospitals (Bhavanipuram) Pvt. Ltd., Vijayawada, Andhra Pradesh, India",H-2018-0580,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1127,"Eden Critical Care Hospital, Chandigarh, Punjab, India",H-2018-0581,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1187,"The Corporate Hospital, Amritsar, Punjab, India",H-2018-0582,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1184,"Nayyar Heart Institute & Super Speciality Hospital, Amritsar, Punjab, India",H-2018-0583,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1152,"Chirayu Health & Medicare Pvt. Ltd., Bhopal, Madhya Pradesh, India",H-2018-0584,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1215,"QRG Medicare Private Limited - (Earlier Certificate issued in the Name of QRG Medicare Limited), Faridabad, Haryana, India",H-2018-0585,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1220,"Rainbow Children's Medicare Limited, Bangalore, Karnataka, India",H-2018-0586,02 Dec 2021,01 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1144,"Sunrise Institute Of Medical Science, Vazhakkala Village, Ernakulam, Kerala, India",H-2018-0587,20 Dec 2021,19 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2016-1099,"People Tree Hospitals, Bangalore, Karnataka, India",H-2018-0588,20 Dec 2021,19 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2016-1055,"Nova Hospital Limited, Lucknow, Uttar Pradesh, India",H-2018-0589,20 Dec 2021,19 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1216,"CareBest  Superspeciality Hospital , Jalandhar, Punjab, India",H-2018-0590,20 Dec 2021,19 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2016-1054,"Cosmo Hospital, Mohali, Punjab, India",H-2018-0591,20 Dec 2018,19 Dec 2021,"Accreditation under Suspension w.e.f November 09, 2021",NABH,India,Expired,2025-09-22T12:39:43.703090
H-2017-1139,"Apollo Hospitals Enterprise Limited, Visakhapatnam, Andhra Pradesh, India",H-2018-0592,20 Dec 2021,19 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1164,"Narmada Apna Hospital  , Hoshangabad, Madhya Pradesh, India",H-2018-0593,20 Dec 2021,19 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2016-1123,"Citi Neuro Centre, Banjara Hills, Hyderabad, Telangana, India",H-2019-0594,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.703090
H-2017-1138,"Asian Heart Institute and Research Centre, Mumbai, Maharashtra, India",H-2019-0595,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2009-0161,"Vinayak Hospital, Noida, Uttar Pradesh, India",H-2019-0596,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2017-1198,"Sapra Multispeciality Hospital, Hisar, Haryana, India",H-2019-0597,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2017-1167,"Narayana Multispeciality Hospital Jaipur (A Unit of Narayana Hrudayalaya Ltd.), Jaipur, Rajasthan, India",H-2019-0598,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2015-0997,"Bhartimaiya Memorial Foundation (Bharat Cancer Hospital & Nirali Memorial Radiation Centre) , Surat, Gujarat, India",H-2019-0599,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2017-1162,"Charusat Hospital, Charusat Healthcare and Research Foundation, Anand, Gujarat, India",H-2019-0600,13 Jan 2019,12 Jan 2022,Accreditation Expired,NABH,India,Expired,2025-09-22T12:39:43.704096
H-2015-1025,"Livasa Hospital, Amritsar (A Unit of Ivy Health and Life Sciences Private Limited) - (Earlier Certificate issued in the name of Ivy Health & Life Sciences Pvt. Ltd.), Amritsar, Punjab, India",H-2019-0601,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2009-0342,"Shekhar Hospital Pvt. Ltd., Lucknow, Uttar Pradesh, India",H-2019-0602,13 Jan 2022,12 Jan 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2015-0966,"Mahatama Gandhi Medical College & Hospital, Jaipur, Rajasthan, India",H-2019-0603,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2013-0717,"Indo US Superspeciality Hospital, Hyderabad, Telangana, India",H-2019-0604,24 Feb 2019,23 Feb 2022,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.704096
H-2017-1219,"Koshys Hospital, Bangalore, Karnataka, India",H-2019-0605,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2016-1108,"Usha Prime Multispeciality Hospital, Anakapalle, Andhra Pradesh, India",H-2019-0606,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2018-1290,"Nathan Super Speciality Hospital, Salem, Tamil Nadu, India",H-2019-0607,24 Feb 2019,23 Feb 2022,Not recommended for renewal,NABH,India,Expired,2025-09-22T12:39:43.704096
H-2017-1217,"SRCC Childrens Hospital - Managed by Narayana Health, Mumbai, Maharashtra, India",H-2019-0608,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2013-0729,"Kamala Nehru Memorial Hospital Regional Cancer Centre, Prayagraj, Uttar Pradesh, India",H-2019-0609,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.704096
H-2017-1159,"Abrol Medical Centre Super Speciality Hospital, Gurdaspur, Punjab, India",H-2019-0610,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.705091
H-2017-1175,"Kanchi Kamakoti Childs Trust Hospital, Chennai, Tamil Nadu, India",H-2019-0611,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.705091
H-2017-1221,"Maharaja Agrasen Hospital, Dwarka, Delhi, Delhi, India",H-2019-0612,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.705091
H-2018-1256,"Aakash Healthcare Super Speciality Hospital, Delhi, Delhi, India",H-2019-0613,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.705091
