reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,facility_type,country,status,extracted_date
DC-2020-0267,"Geetha Mullapudi International Hi Technology Dental Hospital, Rajahmundry, Andhra Pradesh, India",D-2021-0128,15 Apr 2021,14 Apr 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2020-0283,"The Dentist Clinic, Karnal, Haryana, India",D-2021-0129,15 Apr 2021,14 Apr 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2018-0169,"Smaran Advance Dental Clinic, Pune, Maharashtra, India",D-2021-0130,29 Apr 2021,28 Apr 2024,Accreditation Expired and application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2018-0181,"City Dental Centre , Patna, Bihar, India",D-2021-0131,29 Apr 2024,28 Apr 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0191,"Mazhuvenchery Speciality Dental Clinic, Ernakulam, Aluva, Kerala, India",D-2021-0132,29 Apr 2024,28 Apr 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0253,"Dr. Sudhakar's Dental World, Kurnool, Nandyal, Andhra Pradesh, India",D-2021-0133,29 Apr 2024,28 Apr 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0244,"Kristam Dental Care, Anantapur, Andhra Pradesh, India",D-2021-0134,06 May 2024,05 May 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2018-0187,"Panwar Dental Clinic & Implant Centre, Panchkula, Haryana, India",D-2021-0135,06 May 2024,05 May 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
D-2020-0266,"Dr. D.Y. Patil Dental College and Hospital, Pune, Maharashtra, India",D-2021-0136,13 May 2024,12 May 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0252,"S S Dental Hospital, Visakhapatnam, Andhra Pradesh, India",D-2021-0137,13 May 2024,12 May 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0240,"Sri Smiles Super Speciality Dental Hospital, West Godavari, Tanuku, Andhra Pradesh, India",D-2021-0138,29 May 2024,28 May 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0234,"Dr. Sridhar International Dental Hospital, Vijayawada, Andhra Pradesh, India",D-2021-0139,11 Jun 2024,10 Jun 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0268,"Ambuja Dental Clinic & Implant Centre , Thiruvallur, Tamil Nadu, India",D-2021-0140,17 Jun 2024,16 Jun 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2018-0144,"Denta Zone India Private Limited, Lucknow, Uttar Pradesh, India",D-2021-0141,24 Jun 2021,23 Jun 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
D-2017-0114,"Denasia Dental Clinic, Bhopal, Madhya Pradesh, India",D-2021-0142,12 Jul 2021,11 Jul 2024,Not Recommended for Renewal of accreditation,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2020-0262,"Varun Dental Care, Vizianagaram, Andhra Pradesh, India",D-2021-0143,22 Jul 2021,21 Jul 2024,Forced Withdrawal of Accreditation w.e.f. 4th July 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2020-0258,"Lalitha Dental Speciality Centre, Bangalore, Karnataka, India",D-2021-0144,29 Jul 2024,28 Jul 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2021-0332,"Smile Care Dental Clinic, Bhopal, Madhya Pradesh, India",D-2021-0145,05 Aug 2021,04 Aug 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
D-2020-0275,"Rajarajeswari Dental College and Hospital, Bangalore, Karnataka, India",D-2021-0146,19 Aug 2024,18 Aug 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0226,"Cure One Dental Clinic, Bhopal, Madhya Pradesh, India",D-2021-0147,19 Aug 2021,18 Aug 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2019-0251,"Agarwal Multispeciality Dental Clinic implant & Laser Centre , Ahmedabad, Gujarat, India",D-2021-0148,19 Aug 2021,18 Aug 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2020-0284,"Dental Saviours , Gurgaon, Haryana, India",D-2021-0149,19 Aug 2024,18 Aug 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0270,"CDC Dental Network Pvt. Ltd., Gurgaon, Haryana, India",D-2021-0150,19 Aug 2021,18 Aug 2024,Voluntary Withdrawal of Accreditation w.e.f. 12th October 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2021-0330,"Paul Dental Orthodontic Implant and Laser Centre, Delhi, Delhi, India",D-2021-0151,26 Aug 2021,25 Aug 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2018-0166,"Smiles Dental Specialities, Bangalore, Karnataka, India",D-2021-0152,16 Sep 2021,15 Sep 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2020-0273,"Prakash Dental Clinic , Lucknow, Uttar Pradesh, India",D-2021-0153,16 Sep 2021,15 Sep 2024,Accreditation under Suspension w.e.f.17th August 2024 & Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2021-0336,"Dr. Jindal's Dental & Oral Health Clinic, Zirakpur , Mohali, Punjab, India",D-2021-0154,16 Sep 2024,15 Sep 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0294,"Cure 32 Dental Clinic and Implant Centre, Rohtak, Haryana, India",D-2021-0155,14 Oct 2024,13 Oct 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2021-0303,"K. B. Dental Clinic, New Delhi, Delhi, India",D-2021-0156,14 Oct 2021,13 Oct 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.377038
DC-2021-0314,"Smile Super Speciality Dental Hospital, Nellore, Andhra Pradesh, India",D-2021-0157,14 Oct 2024,13 Oct 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
DC-2021-0317,"Deswal Super Specialty Dental Hospital and Implant Centre, Bhiwani, Haryana, India",D-2021-0158,14 Oct 2024,13 Oct 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
DC-2020-0286,"Modi Multi Speciality Dental Clinic, Ahmedabad, Gujarat, India",D-2021-0159,11 Nov 2021,10 Nov 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.377038
DC-2018-0182,"Dentinova Dental Care Centre, New Delhi, Delhi, India",D-2021-0160,25 Nov 2024,24 Nov 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
DC-2019-0207,"Venkata Sai Multispeciality Dental Hospital, Kurnool, Andhra Pradesh, India",D-2021-0161,25 Nov 2024,24 Nov 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
D-2018-0189,"Saveetha Dental College & Hospitals, Chennai, Tamil Nadu, India",D-2021-0162,01 Dec 2024,30 Nov 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
DC-2021-0302,"Dadaji Dental Clinic, Rajnandgaon, Chattisgarh, India",D-2021-0163,01 Dec 2021,30 Nov 2024,Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.377038
DC-2021-0341,"Nemaly Facial Surgical and Multispeciality Dental Center, Chittor, Andhra Pradesh, India",D-2021-0164,01 Dec 2021,30 Nov 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.377038
DC-2020-0282,"Haripriya Dantha Vaidyasala, Chittoor, Tirupati, Andhra Pradesh, India",D-2021-0165,09 Dec 2024,08 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
DC-2019-0236,"Pariseema Multi Speciality Dental Clinic , Ahmedabad, Gujarat, India",D-2021-0166,16 Dec 2021,15 Dec 2024,Voluntary Withdrawal of Accreditation w.e.f. 2nd July 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.377038
DC-2020-0300,"Royal Dental Clinic, Gurgaon, Haryana, India",D-2021-0167,16 Dec 2024,15 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.377038
DC-2021-0323,"Delhi 32 Dental Centre , New Delhi, Delhi, India",D-2021-0168,16 Dec 2021,15 Dec 2024,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.377038
DC-2018-0171,"Bhandari Dental & Medical Clinic, Panchkula, Haryana, India",D-2021-0169,23 Dec 2021,22 Dec 2024,Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2020-0278,"City Dental Hospital , Rajkot, Gujarat, India",D-2021-0170,23 Dec 2024,22 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.379047
DC-2020-0279,"Apple Dental Care , Guntur, Andhra Pradesh, India",D-2021-0171,23 Dec 2024,22 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.379047
DC-2021-0313,"Smile Dental Clinics, Guntur, Andhra Pradesh, India",D-2021-0172,23 Dec 2021,22 Dec 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2021-0327,"Sri Kamakshi Sai Dental Clinic, Tirupati, Andhra Pradesh, India",D-2021-0173,23 Dec 2024,22 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.379047
DC-2021-0319,"Armaan Dental Clinic & Smile Centre, Bhiwani, Haryana, India",D-2021-0174,30 Dec 2021,29 Dec 2024,Accreditation under Suspension w.e.f.17th Aug 2024 and Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2020-0272,"Dyanamic Dental Care Clinic, Lucknow, Uttar Pradesh, India",D-2021-0175,30 Dec 2021,29 Dec 2024,Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2020-0263,"Amaravathi Dental Hospital , Guntur, Andhra Pradesh, India",D-2021-0176,30 Dec 2021,29 Dec 2024,Forced Withdrawal of Accreditation w.e.f. 30th January 2025,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2021-0339,"Jahnavee Dental Care, Ahmedabad, Gujarat, India",D-2021-0177,30 Dec 2024,29 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.379047
D-2019-0201,"I.T.S Dental College, Hospital & Research Centre, Greater Noida, Uttar Pradesh, India",D-2022-0178,20 Jan 2025,19 Jan 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.379047
DC-2019-0248,"Dr.Bhiruds Sweet Smile Dental clinic, Pune, Maharashtra, India",D-2022-0179,20 Jan 2022,19 Jan 2025,Forced Withdrawal of Accreditation w.e.f. 18th Nov 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2020-0264,"Sri Dental Care, Eluru, Andhra Pradesh, India",D-2022-0180,20 Jan 2022,19 Jan 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.379047
DC-2020-0265,"Apple Dental Care, Prakasam, Ongole, Andhra Pradesh, India",D-2022-0181,20 Jan 2022,21 Jan 2025,Forced Withdrawal w.e.f. 26th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
D-2021-0276,"I.T.S Centre For Dental Studies & Research, Ghaziabad, Uttar Pradesh, India",D-2022-0182,20 Jan 2025,19 Jan 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2019-0198,"Moses Dental Care , Adoor, Kerala, India",D-2022-0183,27 Jan 2022,26 Jan 2025,Not Recommended w.e.f 23rd Jan 2025),NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2021-0306,"My Smile Dental Clinic , Bhopal, Madhya Pradesh, India",D-2022-0184,27 Jan 2025,26 Jan 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2020-0297,"Yadav Dental Clinic, Kosli, Rewari, Haryana, India",D-2022-0185,05 Feb 2025,04 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2020-0281,"Malik Dental clinic and Implant Centre, Raipur, Chattisgarh, India",D-2022-0186,10 Feb 2025,09 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2021-0318,"Dant Chikitsa Kendra, Bhopal, Madhya Pradesh, India",D-2022-0187,10 Feb 2025,09 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2018-0190,"Sri Sampath Vinayaka Rupa Multispeciality Dental Clinic, Srikakulam, Andhra Pradesh, India",D-2022-0188,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2019-0250,"Smile N Shine Dental care centre, Gurgaon, Haryana, India",D-2022-0189,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2020-0280,"Shirdi Sai 4Ds Dental & Poly Clinic , Visakhapatnam, Andhra Pradesh, India",D-2022-0190,24 Feb 2022,23 Feb 2025,Forced Withdrawal of Accreditation w.e.f. 18th Nov 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2020-0287,"Dr. Anil Yadav Dental Clinic, Gurgaon, Haryana, India",D-2022-0191,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2021-0316,"The Dental Specialists, Hyderabad, Telangana, India",D-2022-0192,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2021-0351,"Dentem (GT Denta Care LLP ), New Delhi, Delhi, India",D-2022-0193,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.381054
DC-2021-0359,"Ashwin Dental Care Clinic, Thane, Maharashtra, India",D-2022-0194,24 Feb 2022,23 Feb 2025,Voluntary Withdrawal w.e.f. 29th August 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2019-0239,"Sushruta Dentalaya , Ranchi, Jharkhand, India",D-2022-0195,23 Mar 2022,22 Mar 2025,Forced Withdrawal of Accreditation w.e.f. 18th Nov 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2020-0285,"Kosmic Dental Clinic , Lucknow, Uttar Pradesh, India",D-2022-0196,23 Mar 2022,22 Mar 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2021-0305,"Vinayak Dental Clinic, New Delhi, Delhi, India",D-2022-0197,23 Mar 2022,22 Mar 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2021-0335,"Apple Dental Specialities, Vizianagaram, Andhra Pradesh, India",D-2022-0198,23 Mar 2022,22 Mar 2025,Forced Withdrawal of Accreditation w.e.f. 13th March 2025,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.381054
DC-2021-0342,"Sri Sai Chandra Dental Care, Guntur, Andhra Pradesh, India",D-2022-0199,23 Mar 2022,22 Mar 2025,Forced Withdrawal of Accreditation w.e.f. 18th Nov 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0347,"Vinayak Dental Hospital And Orthodontic Centre, Dausa, Rajasthan, India",D-2022-0200,23 Mar 2022,22 Mar 2025,Forced Withdrawal of Accreditation w.e.f. 18th Nov 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0350,"Dr. Kamal Vilekars Multispeciality Dental Hospital, Srikakulam, Andhra Pradesh, India",D-2022-0201,23 Mar 2022,22 Mar 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0370,"S N Dental Clinic, Ananthpur, Karnataka, India",D-2022-0202,23 Mar 2022,22 Mar 2025,Forced Withdrawal of Accreditation w.e.f. 24th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0372,"Fortino Dental, New Delhi, Delhi, India",D-2022-0203,23 Mar 2025,22 Mar 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.383060
DC-2021-0334,"Metro Dental Lounge, Bangalore, Karnataka, India",D-2022-0204,05 May 2022,04 May 2025,Forced Withdrawal of Accreditation w.e.f. 18th Nov 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2020-0298,"TATHASTU SUPERSPECIALITY DENTAL CLINIC, Bhopal, Madhya Pradesh, India",D-2022-0205,05 May 2022,04 May 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0358,"Devanshi Dental Institute & Research Centre, Nagpur, Maharashtra, India",D-2022-0206,05 May 2022,04 May 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2018-0147,"Saluja Dento Max Fac Centre/ Saluja Dental Clinic, Kanpur, Uttar Pradesh, India",D-2022-0207,05 May 2025,04 May 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.383060
DC-2021-0373,"Ayush Dental , East Godavari, Andhra Pradesh, India",D-2022-0208,05 May 2022,04 May 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2018-0162,"Dental Square, Ernakulam, Kerala, India",D-2022-0209,05 May 2025,04 May 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.383060
DC-2019-0214,"Dr Rajesh Dental Lounge, Alappuzha, Kerala, India",D-2022-0210,05 May 2022,04 May 2025,Forced Withdrawal of Accreditation w.e.f. 1st March 2025,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0385,"Arora Multispeciality Dental Implant and Laser Center, Durg, Bhilai, Chattisgarh, India",D-2022-0211,05 May 2025,04 May 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.383060
DC-2022-0399,"Stars Dental Clinic, New Delhi, Delhi, India",D-2022-0212,05 May 2025,04 May 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.383060
DC-2021-0333,"Meghnand Dental Care and Implant Centre, Nashik, Maharashtra, India",D-2022-0213,07 Jul 2022,06 Jul 2025,Forced Withdrawal of Accreditation w.e.f. 11th March 2025,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2019-0227,"Bajpai Dental Hospital & Maxillo Facial research Center , Prayagraj, Uttar Pradesh, India",D-2022-0214,07 Jul 2022,06 Jul 2025,Forced Withdrawal of Accreditation w.e.f. 17th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0325,"Sri Sai Dental Hospital, Krishnankoil, Tamil Nadu, India",D-2022-0215,07 Jul 2022,06 Jul 2025,Forced Withdrawal of Accreditation w.e.f. 14th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
D-2017-0142,"Star Dental Hospital & Root Canal Centre, Chittoor, Tirupati, Andhra Pradesh, India",D-2022-0216,07 Jul 2022,06 Jul 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0340,"Vijaya Super Speciality Dental Clinic, Kadapa, Andhra Pradesh, India",D-2022-0217,07 Jul 2022,06 Jul 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.383060
DC-2021-0363,"Gandhi Dental Clinic, Hisar, Haryana, India",D-2022-0218,07 Jul 2022,06 Jul 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0379,"365 Dentistry, New Delhi, Delhi, India",D-2022-0219,07 Jul 2025,06 Jul 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.385065
DC-2021-0308,"Precigem Dental World, Mumbai, Maharashtra, India",D-2022-0220,28 Jul 2022,27 Jul 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0356,"Kothamas Dental Care, Guntur, Andhra Pradesh, India",D-2022-0221,04 Aug 2022,03 Aug 2025,Forced Withdrawal of Accreditation w.e.f. 14th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0376,"Rohini Dental Clinic & Orthodontic Center ( A Unit Of Kapil Medical Pvt. Ltd.), New Delhi, Delhi, India",D-2022-0222,04 Aug 2022,03 Aug 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0368,"Facedental Inte Rnational Clinic, Pune, Maharashtra, India",D-2022-0223,04 Aug 2022,03 Aug 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0324,"Jay Dental care and advance orthodontic centre, Patna, Bihar, India",D-2022-0224,04 Aug 2022,03 Aug 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0345,"Girish Multispecialty Hospital, Ananthpur, Karnataka, India",D-2022-0225,25 Aug 2022,24 Aug 2025,Forced Withdrawal of Accreditation w.e.f. 14th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2019-0222,"Multispeciality Dental Clinic , Nagpur, Maharashtra, India",D-2022-0226,25 Aug 2022,24 Aug 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2021-0331,"Annapoorna International Dental Care, Krishna, Machilipatnam, Andhra Pradesh, India",D-2022-0227,25 Aug 2022,24 Aug 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.385065
DC-2019-0243,"Confident Dental Care , Bangalore, Karnataka, India",D-2022-0228,25 Aug 2022,24 Aug 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2022-0404,"Takkar Dental Clinic, Panchkula, Haryana, India",D-2022-0229,25 Aug 2025,24 Aug 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.387071
DC-2019-0233,"Jayam Super Speciality Dental Hospital, Anantapur, Andhra Pradesh, India",D-2022-0230,15 Sep 2022,14 Sep 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2021-0343,"Krishna Sai Dental Care, Vijayawada, Krishna, Andhra Pradesh, India",D-2022-0231,15 Sep 2022,14 Sep 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2022-0387,"Advanced Dental and implant clinic, Faridabad, Haryana, India",D-2022-0232,15 Sep 2025,14 Sep 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.387071
DC-2021-0348,"Dr. Goyals Dental And Orthopaedic Centre, New Delhi, Delhi, India",D-2022-0233,22 Sep 2022,21 Sep 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2020-0296,"Maharishi Vashisht Sevadham Dental Hospital , Jind, Haryana, India",D-2022-0234,22 Sep 2022,21 Sep 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2021-0382,"Smirk Dental and Implant centre, New Delhi, Delhi, India",D-2022-0235,22 Sep 2022,21 Sep 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2021-0361,"Balaji Dental Hospital, Ananthpur, Karnataka, India",D-2022-0236,22 Sep 2022,21 Sep 2025,Forced Withdrawal of Accreditation w.e.f. 14th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2021-0381,"Smile Makers Oral and Dental Health Care Center, Ahmednagar, Maharashtra, India",D-2022-0237,22 Sep 2022,21 Sep 2025,Forced Withdrawal of Accreditation w.e.f. 14th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.387071
DC-2022-0392,"Kalyani Dental Hospital, Medchal, Hyderabad, Telangana, India",D-2022-0238,22 Sep 2022,21 Sep 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.389076
DC-2022-0409,"Dr. Agarwal's Dental Speciality Centre, Lucknow, Uttar Pradesh, India",D-2022-0239,22 Sep 2022,21 Sep 2025,Forced Withdrawal of Accreditation w.e.f. 22nd December 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.389076
DC-2022-0396,"Tooth Point, Mohali, Zirakpur, Chandigarh, India",D-2022-0240,22 Sep 2025,21 Sep 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2022-0419,"Meraki Dental Studio, New Delhi, Delhi, India",D-2022-0241,22 Sep 2022,21 Sep 2025,Forced Withdrawal of Accreditation w.e.f.14th Dec 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.389076
DC-2021-0329,"Dr. G.Konda Reddy Super Speciality Dental Hospital, Nellore, Andhra Pradesh, India",D-2022-0242,29 Sep 2022,28 Sep 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2021-0357,"Saritha Dental Clinic LLP, Medchal, Telangana, India",D-2022-0243,29 Sep 2022,28 Sep 2025,Forced Withdrawal of Accreditation w.e.f. 1st May 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2022-0408,"Sri Ganesh Super Speciality Dental Hospital, East Godavari , Rajahmundry, Andhra Pradesh, India",D-2022-0244,20 Oct 2022,19 Oct 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2019-0223,"Happy Tooth Dental Care And Diagnostic Center, Ranchi, Jharkhand, India",D-2022-0245,20 Oct 2022,19 Oct 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2021-0322,"White Dental Lounge, Ahmedabad, Gujarat, India",D-2022-0246,20 Oct 2022,19 Oct 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
DC-2022-0405,"Sapphire Dental Care, Gurgaon, Haryana, India",D-2022-0247,03 Nov 2025,02 Nov 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.389076
