serial_number,reference_number,name,accreditation_number,valid_from,valid_upto,remarks,additional_info,accreditation_level,accreditation_category,country,source,scraped_date,portal_url,row_number,data_version,city,state,address,valid_from_parsed,valid_upto_parsed,certification_status
144,PEH-2017-0682,"Lifeline Hospital, Varanasi, Uttar Pradesh, India",10 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.094796,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,144,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
145,PEH-2017-0684,"Charnock Hospitals Pvt. Ltd., Kolkata, West Bengal, India",12 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.094796,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,145,2.0,Kolkata,West Bengal,"Kolkata, West Bengal, India",,,Unknown
146,PEH-2017-0694,"St. Barnabas Hospital, Ranchi, Jharkhand, India",21 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.094796,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,146,2.0,Ranchi,Jharkhand,"Ranchi, Jharkhand, India",,,Unknown
147,PEH-2017-0695,"Santhiram Medical College and General Hospital, Nandyal, Andhra Pradesh, India",21 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.094796,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,147,2.0,Nandyal,Andhra Pradesh,"Nandyal, Andhra Pradesh, India",,,Unknown
148,PEH-2017-0697,"Shifa Hospital, Dindigul, Tamil Nadu, India",22 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.094796,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,148,2.0,Dindigul,Tamil Nadu,"Dindigul, Tamil Nadu, India",,,Unknown
149,PEH-2017-0704,"Mealmaruvathur Adhiparasakthi Institute of Medical Sciences and Research, Kanchipuram, Tamil Nadu, India",29 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.096800,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,149,2.0,Kanchipuram,Tamil Nadu,"Kanchipuram, Tamil Nadu, India",,,Unknown
150,PEH-2017-0706,"J.P. Hospital, Yamuna Nagar, Haryana, India",31 Aug 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.096800,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,150,2.0,Yamuna Nagar,Haryana,"Yamuna Nagar, Haryana, India",,,Unknown
151,PEH-2017-0710,"Sugansugaa Medical Centre, Tirupur, Tamil Nadu, India",01 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,151,2.0,Tirupur,Tamil Nadu,"Tirupur, Tamil Nadu, India",,,Unknown
152,PEH-2017-0716,"Maharana Pratap District Hospital, Bareilly, Uttar Pradesh, India",07 Sep 2017,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,152,2.0,Bareilly,Uttar Pradesh,"Bareilly, Uttar Pradesh, India",,,Unknown
153,PEH-2017-0718,"Mydhili Hospital, Gudur, Nellore, Andhra Pradesh, India",07 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,153,2.0,Nellore,Andhra Pradesh,"Gudur, Nellore, Andhra Pradesh, India",,,Unknown
154,PEH-2017-0722,"Gudage Hospital, Bidar, Karnataka, India",08 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,154,2.0,Bidar,Karnataka,"Bidar, Karnataka, India",,,Unknown
155,PEH-2017-0724,"Sapthagiri Institute of Medical Sciences & Research Center, Bangalore, Karnataka, India",08 Sep 2017,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,155,2.0,Bangalore,Karnataka,"Bangalore, Karnataka, India",,,Unknown
156,PEH-2017-0739,"Jaspal Nursing Home, Ambala, Haryana, India",16 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,156,2.0,Ambala,Haryana,"Ambala, Haryana, India",,,Unknown
157,PEH-2017-0740,"Vivekanand Hospital, Bhubneshwar, Orissa, India",19 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,157,2.0,Bhubneshwar,Orissa,"Bhubneshwar, Orissa, India",,,Unknown
158,PEH-2017-0746,"Yashoda hospital, Vijayapur, Karnataka, India",21 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,158,2.0,Vijayapur,Karnataka,"Vijayapur, Karnataka, India",,,Unknown
159,PEH-2017-0748,"Sri Lakshmi Narayana Institute of Medical Sciences, Pondicherry, Pondicherry, India",25 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,159,2.0,Pondicherry,Pondicherry,"Pondicherry, Pondicherry, India",,,Unknown
160,PEH-2017-0751,"Mahathma Gandhi Super Speciality Hospital, Guntur, Andhra Pradesh, India",25 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,160,2.0,Guntur,Andhra Pradesh,"Guntur, Andhra Pradesh, India",,,Unknown
161,PEH-2017-0752,"Kanapathy Memorial Hospital, Trichy, Tamil Nadu, India",26 Sep 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,161,2.0,Trichy,Tamil Nadu,"Trichy, Tamil Nadu, India",,,Unknown
162,PEH-2017-0769,"Kumar Hospital, Tumkur, Karnataka, India",14 Oct 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,162,2.0,Tumkur,Karnataka,"Tumkur, Karnataka, India",,,Unknown
163,PEH-2017-0774,"Sri Suba Kowsik Hospital, Devakottai , Tamil Nadu, India",17 Oct 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,163,2.0,Devakottai,Tamil Nadu,"Devakottai, Tamil Nadu, India",,,Unknown
164,PEH-2017-0801,"Sasnur Hospital, Bijapur, Karnataka, India",08 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,164,2.0,Bijapur,Karnataka,"Bijapur, Karnataka, India",,,Unknown
165,PEH-2017-0803,"SKS Hospital India Pvt. Ltd., Salem, Tamil Nadu, India",10 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,165,2.0,Salem,Tamil Nadu,"Salem, Tamil Nadu, India",,,Unknown
166,PEH-2017-0814,"Midas Multispeciality Hospital Pvt. Ltd., Nagpur, Maharashtra, India",17 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,166,2.0,Nagpur,Maharashtra,"Nagpur, Maharashtra, India",,,Unknown
167,PEH-2017-0815,"Krishna Hospital And Trauma Centre, Prayagraj, Uttar Pradesh, India",17 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,167,2.0,Prayagraj,Uttar Pradesh,"Prayagraj, Uttar Pradesh, India",,,Unknown
168,PEH-2017-0820,"Sri Guru Ram Dass Charitable Hospita, Amritsar, Punjab, India",20 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,168,2.0,Amritsar,Punjab,"Amritsar, Punjab, India",,,Unknown
169,PEH-2017-0823,"Bensam Hospital, Kanyakumari, Tamil Nadu, India",20 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,169,2.0,Kanyakumari,Tamil Nadu,"Kanyakumari, Tamil Nadu, India",,,Unknown
170,PEH-2017-0828,"Maa Ram Pyari Ortho Hospital Research Centre Pvt. Ltd., Ranchi, Jharkhand, India",22 Nov 2017,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,170,2.0,Ranchi,Jharkhand,"Ranchi, Jharkhand, India",,,Unknown
171,PEH-2017-0844,"I T Memorial Hospital, Muzaffarpur, Bihar, India",30 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,171,2.0,Muzaffarpur,Bihar,"Muzaffarpur, Bihar, India",,,Unknown
172,PEH-2017-0845,"GS Medical College & Hospital, Hapur, Uttar Pradesh, India",30 Nov 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,172,2.0,Hapur,Uttar Pradesh,"Hapur, Uttar Pradesh, India",,,Unknown
173,PEH-2017-0848,"St. Ursula Hospital, Lohardaga, Jharkhand, India",01 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,173,2.0,Lohardaga,Jharkhand,"Lohardaga, Jharkhand, India",,,Unknown
174,PEH-2017-0869,"Sri Lakshmi Surgical Truma, Ortho & Multi Speciality Hospital, Haveri, Karnataka, India",09 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,174,2.0,Haveri,Karnataka,"Ortho & Multi Speciality Hospital, Haveri, Karnataka, India",,,Unknown
175,PEH-2017-0870,"Chaithanya Eye Hospital & Research Institute, Kollam, Kerala, India",09 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,175,2.0,Kollam,Kerala,"Kollam, Kerala, India",,,Unknown
176,PEH-2017-0872,"Kurinji Super Specialities Hospital Limited, Salem, Tamil Nadu, India",09 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,176,2.0,Salem,Tamil Nadu,"Salem, Tamil Nadu, India",,,Unknown
177,PEH-2017-0873,"Aysha Hospitals Private Limited, Chennai, Tamil Nadu, India",11 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,177,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
178,PEH-2017-0874,"Vitthalkrupa Hospital, Thane, Maharashtra, India",11 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,178,2.0,Thane,Maharashtra,"Thane, Maharashtra, India",,,Unknown
179,PEH-2017-0876,"Kanchi Nursing Home, Mumbai, Maharashtra, India",12 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,179,2.0,Mumbai,Maharashtra,"Mumbai, Maharashtra, India",,,Unknown
180,PEH-2017-0877,"Sai Aashirwad Hospital , Thane, Maharashtra, India",12 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.097996,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,180,2.0,Thane,Maharashtra,"Thane, Maharashtra, India",,,Unknown
181,PEH-2017-0880,"Rise Hospitals for Women and Children, Hyderabad, Telangana, India",13 Dec 2017,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,181,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
182,PEH-2017-0883,"Akshar Surgical Hospital & Laparoscopy Center, Surat, Gujarat, India",14 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,182,2.0,Surat,Gujarat,"Surat, Gujarat, India",,,Unknown
183,PEH-2017-0889,"Patel Hospital & Maternity Home, Jalgaon, Maharashtra, India",18 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,183,2.0,Jalgaon,Maharashtra,"Jalgaon, Maharashtra, India",,,Unknown
184,PEH-2017-0890,"Christ Hospital, Chandrapur, Maharashtra, India",18 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,184,2.0,Chandrapur,Maharashtra,"Chandrapur, Maharashtra, India",,,Unknown
185,PEH-2017-0894,"Rushabh Medisurge Hospitals Private Limited, Ahmedabad, Gujarat, India",18 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,185,2.0,Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India",,,Unknown
186,PEH-2017-0896,"Shivmangal Hospital, Pune, Maharashtra, India",18 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,186,2.0,Pune,Maharashtra,"Pune, Maharashtra, India",,,Unknown
187,PEH-2017-0900,"SPM Hospital, Kanpur, Uttar Pradesh, India",20 Dec 2017,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,187,2.0,Kanpur,Uttar Pradesh,"Kanpur, Uttar Pradesh, India",,,Unknown
188,PEH-2017-0902,"Kafeel Multispeciality Hospital, Vellore, Tamil Nadu, India",20 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,188,2.0,Vellore,Tamil Nadu,"Vellore, Tamil Nadu, India",,,Unknown
189,PEH-2017-0904,"Geeth Ragunath Hospital, Salem, Tamil Nadu, India",20 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,189,2.0,Salem,Tamil Nadu,"Salem, Tamil Nadu, India",,,Unknown
190,PEH-2017-0911,"Rahavendar Hospital, Madurai, Tamil Nadu, India",23 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,190,2.0,Madurai,Tamil Nadu,"Madurai, Tamil Nadu, India",,,Unknown
191,PEH-2017-0912,"Neha Shine Hospitals, Mahbubnagar, Telangana, India",23 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,191,2.0,Mahbubnagar,Telangana,"Mahbubnagar, Telangana, India",,,Unknown
192,PEH-2017-0914,"Avinash Hospitals Pvt. Ltd., Kanchipuram, Tamil Nadu, India",25 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,192,2.0,Kanchipuram,Tamil Nadu,"Kanchipuram, Tamil Nadu, India",,,Unknown
193,PEH-2017-0915,"B.M. Shah Hospital And Medical Research Centre, Durg, Chattisgarh, India",26 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,193,2.0,Durg,Chattisgarh,"Durg, Chattisgarh, India",,,Unknown
194,PEH-2017-0916,"Sai Rathna Multi Speciality Hospital, Ananthapur, Andhra Pradesh, India",27 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,194,2.0,Ananthapur,Andhra Pradesh,"Ananthapur, Andhra Pradesh, India",,,Unknown
195,PEH-2017-0919,"Sanjivi Institute of Orthopedics and Super Specialties Pvt. Ltd., East Godavari, Andhra Pradesh, India",29 Dec 2017,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,195,2.0,East Godavari,Andhra Pradesh,"East Godavari, Andhra Pradesh, India",,,Unknown
196,PEH-2018-0925,"Apex Hospital, Bathinda, Punjab, India",03 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,196,2.0,Bathinda,Punjab,"Bathinda, Punjab, India",,,Unknown
197,PEH-2018-0929,"Khanna Nursing Home (A Unit of Khanna Multispeciality Hospitals Pvt. Ltd.), Ludhiana, Punjab, India",05 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,197,2.0,Ludhiana,Punjab,"Ludhiana, Punjab, India",,,Unknown
198,PEH-2018-0934,"Nayan Eye Hospital, Burdwan, West Bengal, India",08 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,198,2.0,Burdwan,West Bengal,"Burdwan, West Bengal, India",,,Unknown
199,PEH-2018-0936,"Venus Multisuper speciality Hospital, Belagavi, Karnataka, India",04 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,199,2.0,Belagavi,Karnataka,"Belagavi, Karnataka, India",,,Unknown
200,PEH-2018-0938,"Shree Krishna Hospital, Kashipur, Uttarakhand, India",10 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,200,2.0,Kashipur,Uttarakhand,"Kashipur, Uttarakhand, India",,,Unknown
201,PEH-2018-0940,"Gajanan Hospital& Critical Care Center, Aurangabad, Maharashtra, India",12 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,201,2.0,Aurangabad,Maharashtra,"Aurangabad, Maharashtra, India",,,Unknown
202,PEH-2018-0943,"Aneja Hospital & Nursing Home, Ambala, Haryana, India",14 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,202,2.0,Ambala,Haryana,"Ambala, Haryana, India",,,Unknown
203,PEH-2018-0947,"Dipti Eye Care & General Nursing Home, Puruliya, West Bengal, India",15 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,203,2.0,Puruliya,West Bengal,"Puruliya, West Bengal, India",,,Unknown
204,PEH-2018-0950,"Sinha Hospital, Delhi, Delhi, India",16 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,204,2.0,Delhi,Delhi,"Delhi, Delhi, India",,,Unknown
205,PEH-2018-0951,"Ranjit Hospital, Jalandhar, Punjab, India",16 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,205,2.0,Jalandhar,Punjab,"Jalandhar, Punjab, India",,,Unknown
206,PEH-2018-0958,"Punya Hospital, Hassan, Karnataka, India",21 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,206,2.0,Hassan,Karnataka,"Hassan, Karnataka, India",,,Unknown
207,PEH-2018-0961,"Gajanan Hospital and Critical Care Center, Aurangabad, Maharashtra, India",22 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,207,2.0,Aurangabad,Maharashtra,"Aurangabad, Maharashtra, India",,,Unknown
208,PEH-2018-0971,"Siddharth Netralaya, Belagavi, Karnataka, India",25 Jan 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,208,2.0,Belagavi,Karnataka,"Belagavi, Karnataka, India",,,Unknown
209,PEH-2018-0983,"Ankura Hospirtal For Women and Children, Hyderabad, Telangana, India",02 Feb 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,209,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
210,PEH-2018-0994,"Phoenix Hospitals , Prayagraj, Uttar Pradesh, India",08 Feb 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,210,2.0,Prayagraj,Uttar Pradesh,"Prayagraj, Uttar Pradesh, India",,,Unknown
211,PEH-2018-0996,"Sun Hospital, Cuttack, Orissa, India",09 Feb 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,211,2.0,Cuttack,Orissa,"Cuttack, Orissa, India",,,Unknown
212,PEH-2018-1000,"Chhabra Hospital, Panipat, Haryana, India",09 Feb 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,212,2.0,Panipat,Haryana,"Panipat, Haryana, India",,,Unknown
213,PEH-2018-1001,"Healthway Hospitals Private Limited, South Goa, Goa, India",10 Feb 2018,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.105168,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,213,2.0,South Goa,Goa,"South Goa, Goa, India",,,Unknown
